


Brokerage

Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 01/11/2021, JOURNALED JNL VS A/C TYPES (Cash), , No Description,Cash,,,,,,0.26,
 01/11/2021, JOURNALED JNL VS A/C TYPES (Margin), , No Description,Margin,,,,,,-0.26,
 01/08/2021, DIVIDEND RECEIVED CYRUSONE INC COM USD0.01 (CONE) (Margin), CONE, CYRUSONE INC COM USD0.01,Margin,,,,,,0.26,
 01/08/2021, YOU BOUGHT AVALONBAY COMMUNITIES INC COM USD0.01 (AVB) (Margin), AVB, AVALONBAY COMMUNITIES INC COM USD0.01,Margin,0.7,156.55,,,,-109.59,01/12/2021
 01/06/2021, YOU SOLD CLOSING TRANSACTION CALL (BA) BOEING CO COM JAN 15 21 $215 (100 SHS) (Margin), -BA210115C215, CALL (BA) BOEING CO COM JAN 15 21 $215 (100 SHS),Margin,-1,4.15,0.65,0.05,,414.3,01/07/2021
 01/06/2021, YOU BOUGHT CLOSING TRANSACTION CALL (BA) BOEING CO COM JAN 15 21 $220 (100 SHS) (Margin), -BA210115C220, CALL (BA) BOEING CO COM JAN 15 21 $220 (100 SHS),Margin,1,2.75,0.65,0.04,,-275.69,01/07/2021
 01/04/2021, DIVIDEND RECEIVED WALMART INC COM (WMT) (Margin), WMT, WALMART INC COM,Margin,,,,,,0.54,
 01/04/2021, YOU BOUGHT LIVENT CORP COM (LTHM) (Margin), LTHM, LIVENT CORP COM,Margin,1,18.65,,,,-18.65,01/06/2021
 12/31/2020, DIVIDEND RECEIVED INVESCO EXCHANGE TRADED FD TR DYNMC BLD (PKB) (Margin), PKB, INVESCO EXCHANGE TRADED FD TR DYNMC BLD,Margin,,,,,,0.02,
 12/31/2020, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,0.06,1,,,,-0.06,
 12/31/2020, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,0.06,
 12/30/2020, DIVIDEND RECEIVED VANGUARD INDEX FDS VANGUARD VALUE ETF F (VTV) (Margin), VTV, VANGUARD INDEX FDS VANGUARD VALUE ETF F,Margin,,,,,,0.79,
 12/30/2020, DIVIDEND RECEIVED VANGUARD SMALL-CAP GROWTH INDEX FUND (VBK) (Margin), VBK, VANGUARD SMALL-CAP GROWTH INDEX FUND,Margin,,,,,,0.5,
 12/29/2020, DIVIDEND RECEIVED NVIDIA CORPORATION COM (NVDA) (Margin), NVDA, NVIDIA CORPORATION COM,Margin,,,,,,0.04,
 12/29/2020, YOU BOUGHT RENEWABLE ENERGY GROUP INC (REGI) (Margin), REGI, RENEWABLE ENERGY GROUP INC,Margin,0.333,68.21,,,,-22.71,12/31/2020
 12/28/2020, EXPIRED PUT (NKE) NIKE INC CLASS B COM as of 12/24/2020 PUT (NKE) NIKE INC CLASS B COMDEC 24 20 $132 (100 SHS) (Margin), -NKE201224P132, PUT (NKE) NIKE INC CLASS B COMDEC 24 20 $132 (100 SHS),Margin,-1,,,,,,
 12/28/2020, EXPIRED PUT (NKE) NIKE INC CLASS B COM as of 12/24/2020 PUT (NKE) NIKE INC CLASS B COMDEC 24 20 $133 (100 SHS) (Margin), -NKE201224P133, PUT (NKE) NIKE INC CLASS B COMDEC 24 20 $133 (100 SHS),Margin,1,,,,,,
